video_id,title,likes,comments
3UkFAMdzkZo,"If you have strawberry skin, then you NEED this...... #shorts",408,20
9X9XiOtdzSY,100K Celebration with Subscribers #shorts,331,13
48uIQEy-8u0,YouTibe Silver Play Button Reaction🥰❤️ #shorts #ashortaday,459,22
u7ZFd8EvhYc,"A Day In My Life - Decluttering, Setting Up @_chillcast_ , Shopping | Chillbee",173,41
KkLh2y3CBgA,STUDIO TOUR | 1 BHK YouTube Studio Tour | Chillbee,360,95
tHlUTklboMs,Facemasks upto 50% off on woovly | Chillbee,51,5
jxubsVo2_4w,Makeup Collection 2023 | *TOO MUCH* | Chillbee,306,58
l_pa8IYM0yk,I Met My Subscribers | 100K Celebration with Subscribers | Chillbee,98,38
qjCqPya1fiQ,I AM STARTING ...????? CHILLCAST By Chillbee,164,65
#NAME?,Huge discounts on Makeup and Skincare ft. @woovly| Chillbee,74,17
2tx_vLS6W90,Getting NAIL EXTENTIONS for the FIRST Time | Worst Experience | Chillbee,211,31
77fjTnUugkQ,BB Cream or Foundation #shorts #ashortaday,482,33
TJug6tasjn4,"If I Started a YouTube Channel in 2025, I’d Do This! How to Start YouTube from Zero Subscribers",23469,1599
o9lj60O-bKQ,GRWM for Night Out #shorts #ashortaday Chillbee,1888,33
ac_gpc-8in8,GRWM for Day Out #shorts #ashortaday,1149,30
2IYMzSmz10s,"Trendy URBANIC DRESS Haul | Dresses, Jumpsuits, Co Ords | *HUGE* Urbanic Haul | Chillbee",165,59
fF5R1w6e_8o,Ethnic Outfits from Aurelia #shorts #ashortaday Chillbee,719,14
nftB-pLxXVQ,Product Empties of 2022 #shorts #ashortaday Chillbee,517,23
Zm1Ua0LJoLM,Affordable Makeup Brushes For Beginners #shorts #ashortaday Chillbee,421,12
2FVVgTTyIrI,What I ate for 100K Celebrations #shorts #ashortaday Chillbee,608,15
1cTwciLXG9U,What I ate on Christmas #shorts #ashortaday Chillbee,517,13
LsZAsZA-rwg,ONE BRAND MAKEUP ft. @CuffsNLashes | Affordable Beauty | Chillbee,251,50
